      t = 0.010000
      m = 0.078524
         n            rho            x_0            x_1            v_0            v_1            a_0            a_1
        67       1000.077      0.5476329      0.6234044   1.048023e-05    -0.09760362    0.001021433      -9.809427
        68       999.8048      0.5566141      0.6295446  -3.272556e-06    -0.09761275  -0.0003465415      -9.810378
        69        1001.45      0.5641371      0.6360668  -0.0004936419    -0.09821606    -0.04440383      -9.864568
        70        1001.45      0.5700674      0.6433486   0.0004958569    -0.09700066     0.04475037      -9.755054
        71       1000.011      0.5765552      0.6513266  -1.433731e-06    -0.09760873    -0.00012176      -9.809935
        72         1000.9       0.580989       0.660959   0.0003488806    -0.09779546     0.03247561      -9.826697
        73       999.8692      0.5847996      0.6699845   1.283642e-05    -0.09758992    0.001620557      -9.808298
        74       1000.761      0.5873441      0.6796317   0.0001055458    -0.09778884    0.009869791      -9.826807
        75        1000.25      0.5890842      0.6890832   2.254968e-05     -0.0975016    0.002404395      -9.799813
        76       1000.004         0.5899      0.6994095   3.745804e-08    -0.09761001   3.665952e-06       -9.81005
        77       1000.004      0.5891841      0.7090863  -3.989057e-08    -0.09760897  -3.665952e-06       -9.80995
        78       999.8042      0.5875435      0.7195864  -3.175173e-11     -0.0976095              0          -9.81
        79        999.847      0.5847995      0.7293346   3.051249e-06    -0.09761481   0.0003740467      -9.810488
        80       1000.417      0.5810376      0.7384092   8.129622e-05    -0.09756892    0.007709482      -9.805206
        81       1001.142      0.5761076      0.7469438   0.0004740051     -0.0973377     0.04337475      -9.785252
        82       1000.237      0.5699151      0.7557738   5.251148e-05    -0.09757237    0.004959329      -9.806315
        83       999.8299      0.5636896      0.7635991  -4.319379e-06    -0.09760602  -0.0004271868      -9.809656
        84       999.8299      0.5560141      0.7697743   4.292942e-06    -0.09761295    0.000427378      -9.810344
        85       1000.292      0.5478832      0.7758645   5.942761e-05    -0.09764179    0.005716799      -9.813106
        86       1000.292      0.5394492      0.7804469  -5.938536e-05    -0.09757724   -0.005716799      -9.806894
        87       999.8042      0.5299751       0.784109  -8.031308e-09     -0.0976095              0          -9.81
        88       1003.127      0.5197331      0.7877411    0.001142804    -0.09983851     0.08285222      -9.980495
        89       1001.724      0.5104189      0.7886441   -0.001521565    -0.09753362     -0.1315054      -9.810324
        90       999.8042         0.5001      0.7900095   5.278016e-09       -0.09761              0          -9.81
        91       1000.003      0.4896732      0.7894434   3.065811e-06     -0.0976552    0.000564002      -9.814348
        92       1000.968      0.4798251      0.7872536   0.0003916164    -0.09749074     0.03631759      -9.798986
        93       1000.968      0.4707729      0.7845084  -0.0003916707    -0.09772828    -0.03631759      -9.821014
        94       999.8042      0.4614005      0.7802967  -2.055689e-08    -0.09760951              0          -9.81
        95        1000.57      0.4516679      0.7754652   0.0001452425    -0.09750285     0.01375507        -9.7999
        96        1000.57      0.4439852      0.7698238  -0.0001451571    -0.09771609    -0.01375507        -9.8201
        97       1000.179      0.4362105       0.763199   2.694882e-05    -0.09762613    0.002546752      -9.811638
        98        1000.07      0.4291852      0.7559236   9.396029e-06    -0.09761509   0.0008984916      -9.810535
        99       999.8596      0.4237948      0.7473924  -4.650138e-06      -0.097607  -0.0004438328      -9.809761
       100       1000.144      0.4185129       0.739059   2.402828e-05    -0.09762228    0.002216078      -9.811171
       101       999.8678      0.4145507      0.7296345    4.77189e-05    -0.09762202    0.004774963      -9.810183
       102       999.8042      0.4119565      0.7197864  -1.955343e-09    -0.09760951              0          -9.81
       103       1000.193      0.4100659      0.7093865  -5.350156e-07    -0.09757111  -5.174009e-05      -9.806285
       104       1000.193         0.4102      0.6997593   5.362045e-07    -0.09764787   5.174009e-05      -9.813715
       105       1000.325      0.4106158      0.6891832   -1.85702e-05    -0.09751722   -0.001793757      -9.801092
       106       1000.448      0.4125066      0.6797822   1.439299e-05    -0.09768361    0.001359039       -9.81701
       107       999.9313      0.4147005      0.6702843    3.22725e-06    -0.09762863   0.0003272837      -9.811947
       108       1001.121      0.4186151      0.6599612   0.0004551845    -0.09736298     0.04182295      -9.787358
       109       1001.039       0.423746      0.6512279   0.0002269466    -0.09734982     0.02072681      -9.785875
       110       1000.192      0.4293855       0.643395   7.396621e-05    -0.09769072    0.007551789      -9.817444
       111       999.8042      0.4362604      0.6361199  -2.227182e-08    -0.09760948              0          -9.81
       112       1002.198      0.4443293      0.6292992   -0.001257702    -0.09675002     -0.1073667      -9.736889
       113        1002.12      0.4517734      0.6236996     0.00120727    -0.09852064      0.1040657       -9.88885
       114       999.8042      0.4607505      0.6185723   1.630434e-08    -0.09760951              0          -9.81
       115       999.8042      0.4700249        0.61436  -4.129635e-09     -0.0976095              0          -9.81
       116       1000.324      0.4800229      0.6115161   -4.42756e-05     -0.0975841   -0.004227552      -9.807564
       117       1000.165      0.4895734      0.6102254   4.590544e-05    -0.09761537    0.004451946      -9.810533
       118       1004.062      0.5004004      0.6190859   6.989715e-05     -0.0927256     0.00405467      -9.450773
       119       999.8195      0.5105267      0.6201903   2.397774e-06    -0.09760725    0.000275666      -9.809771
       120       999.8667      0.5202452      0.6220228  -2.921177e-06     -0.0976153  -0.0002935371      -9.810573
       121       1000.211      0.5296998      0.6251773   -3.79387e-05    -0.09762975   -0.003664344      -9.811957
       122        1000.21      0.5381905      0.6297051   3.807981e-05    -0.09758919    0.003681931      -9.808037
       123       999.8042      0.5469228      0.6346381  -1.596685e-08    -0.09760951              0          -9.81
       124       999.8296      0.5550638       0.641542  -3.185982e-06    -0.09761469  -0.0002440797      -9.810595
       125       1000.488      0.5615414      0.6489649    6.36455e-05    -0.09775093    0.006163235      -9.824032
       126       1001.519      0.5673483      0.6568405     0.00039592    -0.09815352     0.03462337      -9.858029
       127       1001.142       0.572435       0.665049  -0.0002249059     -0.0972564    -0.01960994      -9.778221
       128       999.8072      0.5757845      0.6750381  -8.054235e-07    -0.09761031  -0.0001265041      -9.810064
       129       1000.464      0.5790323      0.6844193  -0.0001269105    -0.09755924    -0.01195236      -9.805526
       130         999.95      0.5795921      0.6941364  -4.335387e-07    -0.09758715  -0.0002102067      -9.807721
       131       999.8042      0.5800921      0.7048327   2.548403e-09    -0.09760952              0          -9.81
       132       1001.749      0.5784344      0.7148946    0.000277405     -0.0986507     0.02469179      -9.902326
       133       1001.767      0.5760332      0.7239362  -0.0002459339    -0.09657874    -0.02133942      -9.719799
       134        1000.35      0.5728857      0.7333716  -8.333469e-05    -0.09765372   -0.008056184      -9.813904
       135       1001.245       0.567744       0.742574  -0.0004379292    -0.09792071    -0.03966441      -9.838396
       136       1000.364      0.5619405      0.7504035   -0.000103605    -0.09758786    -0.01044179      -9.808278
       137       999.8783      0.5543637       0.758177  -5.817073e-06    -0.09760495  -0.0006141102       -9.80952
       138       999.8813      0.5466729      0.7642308   5.829885e-06    -0.09761552   0.0005652738      -9.810588
       139       1000.134      0.5381404       0.769964   2.713197e-05    -0.09760858    0.002696774      -9.809917
       140       1000.468      0.5292003      0.7738916   6.111076e-05    -0.09761287    0.005730565       -9.81028
       141       1000.271      0.5200948      0.7769463  -7.920288e-05     -0.0975826   -0.007670257       -9.80736
       142       1000.719      0.5095782      0.7785786   0.0002972785    -0.09762702     0.02806213      -9.811633
       143       1000.953      0.5000989      0.7792596  -0.0002200436    -0.09758576     -0.0202271      -9.807784
       144       1000.046       0.490423      0.7788787  -7.687682e-05    -0.09761202   -0.007946171      -9.810212
       145       999.8042      0.4801548      0.7765962   6.402278e-09    -0.09760951   2.739595e-06      -9.809999
       146        1000.92      0.4706018      0.7736424   0.0003487495    -0.09746481     0.03242243      -9.796543
       147        1000.92      0.4618579      0.7700133  -0.0003491448    -0.09775442    -0.03242517      -9.823458
       148       1000.704      0.4525278      0.7639316   0.0001206413    -0.09746408     0.01123196       -9.79639
       149        1000.51      0.4448355      0.7582765  -0.0001395835    -0.09771281    -0.01315942      -9.819637
       150       999.8149      0.4383589      0.7508034  -2.693621e-06     -0.0976123   -0.000348357      -9.810338
       151       999.8267      0.4325538      0.7420256  -2.757421e-06    -0.09761375  -0.0002780436      -9.810429
       152       999.8267      0.4271639      0.7337719   3.966686e-06    -0.09760587   0.0002780436      -9.809571
       153       1005.313      0.4243196      0.7238377   -0.008242498    -0.09638479     -0.5177398       -9.73309
       154       1000.068       0.420967      0.7140001   5.019562e-07    -0.09759689   4.309001e-05       -9.80884
       155       1000.088      0.4206079      0.7043327  -4.539403e-07    -0.09762258   -4.92998e-05      -9.811264
       156       999.8249      0.4200579      0.6944863   6.520789e-08    -0.09760837   6.209785e-06      -9.809896
       157       999.8042       0.421717       0.684469   9.892811e-10     -0.0976095              0          -9.81
       158       999.9864      0.4241655      0.6745381   6.009101e-07    -0.09761102   5.697076e-05      -9.810143
       159       999.9873      0.4277138      0.6654972  -3.113115e-07    -0.09760781   -3.00637e-05      -9.809835
       160       999.8042      0.4326038      0.6562434  -5.963788e-08    -0.09760942              0          -9.81
       161       1000.533      0.4385084      0.6481659  -9.727426e-05    -0.09755649   -0.009206874      -9.805006
       162       1000.329      0.4450366      0.6411416   6.978064e-05    -0.09768536    0.006626563       -9.81727
       163       999.8868      0.4525275      0.6346384   5.133789e-05    -0.09755904      0.0033938       -9.80443
       164       1001.094      0.4615073      0.6290559  -0.0004630073    -0.09742896    -0.04263923      -9.793374
       165       1001.094      0.4703024      0.6256265   0.0004630368    -0.09779005     0.04263923      -9.826626
       166       1002.443       0.480445      0.6222739    -0.00186416    -0.09742098     -0.1557261      -9.796641
       167       1002.796       0.489583      0.6205363    0.001835688    -0.09837286      0.1520428      -9.875316
       168       999.8344         0.4999      0.6299595   4.452041e-06     -0.0976072   0.0004751399      -9.809368
       169       999.8313      0.5105921      0.6301055   1.422195e-06    -0.09761094   0.0001410696      -9.810146
       170        1000.07      0.5200669      0.6328274   4.342525e-07    -0.09761253   4.163255e-05      -9.810293
       171       999.8676       0.529362      0.6359281  -1.792505e-06    -0.09761013  -0.0001750036      -9.810065
       172       999.8042      0.5388237      0.6409297              0     -0.0976095              0          -9.81
       173       999.8042      0.5468623      0.6478754  -8.239565e-08    -0.09760958              0          -9.81
       174       1000.508      0.5543045      0.6552325  -0.0001537175    -0.09758649    -0.01512462      -9.807366
       175       1001.258      0.5601993      0.6629962    -0.00043965    -0.09713009    -0.03988924      -9.766832
       176       999.8042      0.5646742      0.6720822              0     -0.0976095              0          -9.81
       177       1000.162      0.5680738       0.682204  -4.111333e-06    -0.09763956  -0.0003993105      -9.812919
       178       1000.162      0.5693801      0.6917537   4.120597e-06    -0.09757938   0.0003993105      -9.807081
       179       999.8779      0.5695533      0.7023161  -6.260867e-07    -0.09760154  -6.186799e-05      -9.809214
       180       999.8779      0.5687856       0.712074    6.25627e-07    -0.09761745   6.186799e-05      -9.810786
       181       1000.487       0.566251      0.7226104   4.307031e-05    -0.09774565    0.003933525      -9.822188
       182        1000.61      0.5619037      0.7311172  -4.753748e-05    -0.09745673   -0.004553393      -9.795645
       183       1000.333      0.5566806      0.7403898   5.941643e-05    -0.09757601    0.005664503      -9.806813
       184       999.8668      0.5500932      0.7476447  -3.434715e-06    -0.09760476  -0.0002789595      -9.809496
       185       999.8071      0.5429822      0.7550143   4.645769e-07    -0.09760841   4.883637e-05      -9.809893
       186       1000.034      0.5347092      0.7609029  -4.196014e-06    -0.09762151  -0.0003329209      -9.811096
       187       999.9006      0.5254061      0.7648906  -5.004972e-06      -0.097623  -0.0004241609      -9.811346
       188       999.8046      0.5147201      0.7677348   3.712584e-06     -0.0976073   0.0007273363      -9.809853
       189       999.8123      0.5049597      0.7698227  -3.092075e-07    -0.09761322   0.0001217395      -9.810372
       190       999.8042      0.4946403      0.7689728  -3.081077e-09    -0.09760942              0          -9.81
       191       999.8616      0.4846299      0.7673351   1.020627e-05    -0.09756042    0.001983052      -9.804929
       192       1000.074      0.4751439      0.7644406   1.058046e-05    -0.09760519    0.001032381      -9.809561
       193        1000.07      0.4661407      0.7609029  -1.021331e-05    -0.09761354   -0.001001465      -9.810393
       194       1000.012       0.457168       0.755414   2.475381e-05    -0.09764945    0.002605263      -9.813697
       195       999.8042      0.4496568      0.7483947   2.164187e-10     -0.0976095              0          -9.81
       196       999.8042      0.4428697      0.7406896              0     -0.0976095              0          -9.81
       197       999.8042      0.4378961      0.7313665   3.281314e-06    -0.09760983    0.001240884      -9.810106
       198       1005.313      0.4332951      0.7225043    0.008239559    -0.09883372       0.516499      -9.886804
       199       999.9581      0.4316644      0.7118241  -5.400526e-07    -0.09761396  -5.276192e-05      -9.810436
       200       999.9581      0.4304967      0.7021661   5.373526e-07    -0.09760506   5.276192e-05      -9.809564
       201       999.8042      0.4306199      0.6921035  -3.719506e-11     -0.0976095              0          -9.81
       202       999.8042      0.4321761      0.6817542              0     -0.0976095              0          -9.81
       203        999.805      0.4351758      0.6720822  -2.662641e-07    -0.09760973  -2.690706e-05      -9.810023
       204       999.8042      0.4405985      0.6629437   4.473984e-09    -0.09760949              0          -9.81
       205       1000.014      0.4459948      0.6543325   2.711909e-05     -0.0975858    0.002506846      -9.807603
       206       999.8059      0.4532377      0.6475254  -2.709927e-07     -0.0976091  -1.940231e-05      -9.809952
       207       999.8042      0.4608763      0.6406797   -1.97227e-08    -0.09760951              0          -9.81
