      t = 0.000000
      m = 0.078524
         n            rho            x_0            x_1            v_0            v_1            a_0            a_1
         0       999.8051         0.5001        0.60005              0              0   5.825774e-07      -9.810058
         1       999.8354      0.5104168      0.6004631              0              0   0.0006719771       -9.80989
         2       999.8042      0.5203799       0.601647              0              0   9.072162e-08          -9.81
         3       999.8042      0.5300863      0.6043861              0              0              0          -9.81
         4       999.8042      0.5397356      0.6076042              0              0              0          -9.81
         5       999.8042      0.5489302      0.6121653              0              0              0          -9.81
         6       999.8151      0.5570268      0.6176237              0              0  -0.0003059874      -9.810182
         7       999.9235      0.5652372      0.6245742              0              0   0.0009428621       -9.80915
         8       999.8042      0.5727293      0.6307033              0              0              0          -9.81
         9       1000.328      0.5788276      0.6382894              0              0    0.001106288      -9.808748
        10       999.8183      0.5851144      0.6472536              0              0   9.955355e-05      -9.809814
        11       999.9916      0.5902805      0.6562106              0              0    0.000464926      -9.808795
        12       999.8042      0.5937752      0.6652195              0              0              0          -9.81
        13       1000.212      0.5971577      0.6753847              0              0  -0.0001670622      -9.810937
        14       999.8763      0.5983968      0.6852572              0              0   0.0001585904      -9.808959
        15       999.8067      0.5996717      0.6951351              0              0   1.681344e-06      -9.809917
        16       999.9537      0.5997217      0.7046649              0              0   2.005242e-05      -9.811301
        17       1000.497      0.5983468      0.7156428              0              0   0.0007645747      -9.814681
        18       999.8121      0.5965077      0.7252153              0              0   -1.97712e-05      -9.809931
        19       1000.093      0.5935252      0.7351305              0              0   0.0008409402      -9.812001
        20       1000.164      0.5898305      0.7435394              0              0   -0.001004143      -9.807901
        21       999.8042      0.5853644      0.7533464              0              0              0          -9.81
        22       999.9695      0.5786776      0.7611606              0              0   0.0002510364      -9.809698
        23       999.8042      0.5728293      0.7692467              0              0              0          -9.81
        24       999.8093      0.5652372      0.7763758              0              0  -0.0001348228      -9.809905
        25       999.8979      0.5574268      0.7818763              0              0   0.0009152113      -9.810712
        26       999.8042      0.5486302      0.7875847              0              0              0          -9.81
        27       999.8252      0.5389856      0.7914958              0              0  -4.791187e-05      -9.809979
        28       1000.139      0.5295363      0.7958139              0              0    0.003728102      -9.810848
        29        1000.27      0.5205799       0.797603              0              0    -0.00452752      -9.808456
        30       999.9197      0.5102668      0.7991869              0              0    -4.9113e-05      -9.809904
        31       999.8084        0.50025         0.8005              0              0   0.0001340967      -9.810014
        32       999.8266      0.4895832      0.7996369              0              0  -0.0004696913      -9.810081
        33       999.8586      0.4802201       0.797803              0              0   0.0008516948      -9.809852
        34        999.932      0.4698137      0.7949639              0              0   -0.001222764      -9.810406
        35       999.8042      0.4602644      0.7922458              0              0              0          -9.81
        36       1000.499      0.4509698      0.7871347              0              0    0.003959071      -9.807527
        37       999.8042      0.4431232      0.7816763              0              0              0          -9.81
        38       999.8042      0.4350128      0.7758758              0              0              0          -9.81
        39       999.8782      0.4279207      0.7685967              0              0   0.0009252696      -9.810543
        40       999.8042      0.4208724      0.7613606              0              0              0          -9.81
        41       1000.021      0.4150856      0.7524464              0              0  -0.0002127829      -9.811104
        42       999.8042      0.4099695      0.7440394              0              0              0          -9.81
        43       999.9069      0.4057748      0.7344805              0              0  -0.0001632398      -9.810595
        44       999.9466      0.4029423      0.7255653              0              0   0.0002595168      -9.809275
        45       999.8221      0.4010032      0.7154428              0              0   6.671286e-05      -9.809707
        46        1000.03      0.3996783      0.7055649              0              0   0.0001615849      -9.808951
        47       999.8095      0.4003283      0.6947351              0              0   1.857486e-05      -9.810222
        48       999.8042      0.4013032      0.6848572              0              0              0          -9.81
        49       999.8971      0.4033423      0.6753347              0              0  -0.0002635781      -9.808853
        50       999.8697      0.4062248      0.6656195              0              0  -0.0002402945      -9.809319
        51       999.8061      0.4103195      0.6559606              0              0  -0.0001262385      -9.810073
        52       1000.195      0.4155856      0.6468536              0              0  -0.0006146046      -9.810403
        53       999.8042      0.4210224      0.6387894              0              0              0          -9.81
        54        999.809      0.4277707      0.6310533              0              0   0.0001369202      -9.810134
        55       999.8368      0.4349628      0.6237742              0              0   -0.001430662      -9.808942
        56       1001.078      0.4433732      0.6174237              0              0    -0.01762446      -9.799425
        57       999.8042      0.4511698      0.6122153              0              0              0          -9.81
        58       999.8042      0.4604644      0.6077542              0              0              0          -9.81
        59       999.8042      0.4699637      0.6046361              0              0              0          -9.81
        60       1000.052      0.4794701       0.602297              0              0   -0.001067876      -9.809732
        61        999.805      0.4896332      0.6001131              0              0  -2.354872e-05      -9.809995
        62       1000.511        0.50025        0.61045              0              0   -0.000251205      -9.827827
        63       999.8112      0.5099768      0.6104159              0              0    8.55593e-06      -9.810245
        64       999.8601      0.5199269      0.6127065              0              0  -1.418309e-06      -9.809561
        65       999.8414      0.5293251      0.6154505              0              0  -0.0006009865      -9.810206
        66       999.8352      0.5391995      0.6191628              0              0   0.0005935245      -9.809683
        67       999.8076      0.5476329      0.6238948              0              0  -0.0001323226      -9.810077
        68       1001.006      0.5566141      0.6300352              0              0    -0.02073277      -9.828666
        69        1000.24      0.5641396      0.6365604              0              0  -0.0005812985      -9.810678
        70       999.8392      0.5700648      0.6438359              0              0   0.0001622395      -9.809959
        71       1000.471      0.5765552      0.6518171              0              0   -0.003773828      -9.807859
