      t = 0.019900
      m = 0.078524
         n            rho            x_0            x_1            v_0            v_1            a_0            a_1
         0       999.8042         0.5001      0.5981076   2.912887e-11     -0.1947285              0          -9.81
         1       999.8046      0.5104168      0.5985206   1.762527e-06     -0.1947286   9.256357e-05      -9.810001
         2       999.8042      0.5203799      0.5997046   4.536081e-12     -0.1947285              0          -9.81
         3       999.8042      0.5300863      0.6024436              0     -0.1947285              0          -9.81
         4       999.8042      0.5397356      0.6056618              0     -0.1947285              0          -9.81
         5       999.9052      0.5489303       0.610223   1.239684e-05     -0.1947201   0.0006258107      -9.809578
         6       999.9052      0.5570267      0.6156811  -1.241214e-05     -0.1947369  -0.0006258107      -9.810422
         7       1000.053       0.565237      0.6226315  -2.833689e-05     -0.1947518   -0.001433844      -9.811179
         8       1000.199      0.5727295       0.628761   1.825775e-05     -0.1947174   0.0009215992      -9.809442
         9       999.9499      0.5788277      0.6363471    1.01816e-05     -0.1947162   0.0005122444      -9.809379
        10       1000.011      0.5851145      0.6453112   2.415957e-06     -0.1947298     0.00012176      -9.810065
        11       1000.094      0.5902803      0.6542679  -1.076245e-05     -0.1947562  -0.0005449706      -9.811405
        12       1000.094      0.5937753      0.6632773    1.07857e-05     -0.1947007   0.0005449706      -9.808595
        13       999.8052      0.5971577      0.6734423   1.699489e-07     -0.1947271    9.00357e-06      -9.809928
        14       999.8058      0.5983968      0.6833148  -2.973873e-07     -0.1947322   -1.53905e-05      -9.810191
        15       1000.545      0.5996716      0.6931892  -1.637793e-06     -0.1950616  -8.312478e-05      -9.826894
        16       1000.545      0.5997217       0.702726   1.765895e-06     -0.1943931   8.951171e-05      -9.792986
        17       999.9284      0.5983468      0.7137005  -2.407184e-06      -0.194716  -0.0001234561      -9.809357
        18       999.9284      0.5965077      0.7232727   2.444424e-06     -0.1947412   0.0001234561      -9.810643
        19       1002.306      0.5935479      0.7331365    0.001922063     -0.1990998     0.09859092      -10.03421
        20       1002.307       0.589808      0.7416485    -0.00189372     -0.1903774    -0.09707645      -9.586946
        21       999.8042      0.5853644       0.751404              0     -0.1947285              0          -9.81
        22       999.8042      0.5786776      0.7592182  -1.322382e-07     -0.1947283  -7.312177e-06       -9.80999
        23       999.8042      0.5728293      0.7673043     1.4479e-07     -0.1947287   7.312177e-06       -9.81001
        24        1000.45      0.5652394      0.7744319   0.0002046934     -0.1948727     0.01037274      -9.817305
        25        1000.45      0.5574247      0.7799354  -0.0002046544     -0.1945844    -0.01037274      -9.802695
        26       999.8042      0.5486302      0.7856422              0     -0.1947285              0          -9.81
        27       999.8042      0.5389856      0.7895534  -2.395593e-09     -0.1947285              0          -9.81
        28        1002.24      0.5296205      0.7938568    0.006826285     -0.1958176      0.3461875      -9.863109
        29       1003.257      0.5205036      0.7957148   -0.005953217     -0.1903007     -0.2975343      -9.586071
        30       999.8042      0.5102668      0.7972445   -2.45565e-09     -0.1947285              0          -9.81
        31       999.8042        0.50025      0.7985576   6.704837e-09     -0.1947285              0          -9.81
        32       1000.688      0.4895866      0.7976961   0.0003300103     -0.1945798     0.01672049      -9.802468
        33       1000.493      0.4802166      0.7958599  -0.0003407645     -0.1947914    -0.01728449      -9.813185
        34        999.807      0.4698137      0.7930215  -2.833803e-06     -0.1947293  -0.0001400016       -9.81004
        35        999.807      0.4602644      0.7903034   2.772665e-06     -0.1947277   0.0001400016       -9.80996
        36       1000.428      0.4509718      0.7851936    0.000191221     -0.1945955    0.009677415      -9.803268
        37       1000.428      0.4431212      0.7797325  -0.0001901798     -0.1948608   -0.009634708      -9.816702
        38       999.8044      0.4350127      0.7739334  -8.432551e-07     -0.1947291  -4.270724e-05       -9.81003
        39       1000.174      0.4279201      0.7666546  -5.686359e-05     -0.1946949   -0.002876195        -9.8083
        40       1000.069      0.4208722      0.7594183  -1.778514e-05     -0.1947179  -0.0008984916      -9.809465
        41       999.8722      0.4150857      0.7505039   9.280533e-06     -0.1947323   0.0004680604      -9.810187
        42       1000.154      0.4099691      0.7420972  -4.435167e-05     -0.1947063   -0.002240305       -9.80888
        43       1001.502      0.4057797      0.7325565   0.0004424197     -0.1930571     0.02261973      -9.724542
        44       1001.441      0.4029365      0.7236046    -0.00053495     -0.1963947    -0.02739469      -9.895275
        45       999.8045      0.4010032      0.7135003  -8.373158e-08     -0.1947291  -4.396884e-06      -9.810033
        46       999.8045      0.3996784      0.7036225   9.514646e-08     -0.1947278   4.396884e-06      -9.809967
        47       999.8074      0.4003284      0.6927926   2.131794e-07     -0.1947306   1.073469e-05      -9.810104
        48       999.9454      0.4013032      0.6829147   2.075038e-06     -0.1947371   0.0001047407      -9.810437
        49       999.9422      0.4033423      0.6733924  -2.300468e-06     -0.1947177  -0.0001154754      -9.809459
        50       999.8082      0.4062248      0.6636771   2.115258e-06     -0.1947275   0.0001074344      -9.809951
        51       1001.026      0.4103108      0.6540134  -0.0008205222     -0.1951727    -0.04182295      -9.832642
        52       1000.824      0.4155794      0.6449087  -0.0005849989     -0.1949614    -0.02970406      -9.821804
        53       1000.026      0.4210228       0.636846   2.859669e-05      -0.194824     0.00142547      -9.814877
        54       999.8042      0.4277707      0.6291109   6.846012e-09     -0.1947285              0          -9.81
        55       999.8042      0.4349628      0.6218318  -7.153311e-08     -0.1947284              0          -9.81
        56       1001.323        0.44336        0.61549   -0.001215212     -0.1939168    -0.06208967      -9.768522
        57       1001.323       0.451183      0.6102641     0.00121433     -0.1955397     0.06208967      -9.851478
        58       999.8042      0.4604644      0.6058118   2.948881e-09     -0.1947285   1.504787e-07          -9.81
        59        999.876      0.4699637      0.6026936   5.375993e-06     -0.1947306   0.0002713565      -9.810108
        60       1000.034      0.4794701      0.6003542  -9.806478e-06      -0.194764  -0.0004959008      -9.811796
        61       999.8042      0.4896332      0.5981706  -1.177436e-09     -0.1947285              0          -9.81
        62       1002.683      0.5002441      0.6084214  -0.0004936016     -0.2015943    -0.02525443      -10.15644
        63        999.944      0.5099814      0.6084718   0.0004073341     -0.1949527      0.0211072      -9.822783
        64       999.9274       0.519927      0.6107642   1.187246e-05     -0.1947149   0.0005990934      -9.809314
        65       999.8756       0.529325       0.613508  -1.188398e-05     -0.1947318  -0.0005983965      -9.810164
        66       1000.076      0.5391993      0.6172203  -2.018811e-05     -0.1947398   -0.001021433      -9.810573
        67       1000.076      0.5476331      0.6219525   2.021117e-05     -0.1947172    0.001021433      -9.809427
        68       999.8054       0.556614      0.6280927    -8.1056e-06     -0.1947371  -0.0003465415      -9.810378
        69       1001.287      0.5641302      0.6346064  -0.0008686125      -0.195796    -0.04440383      -9.864568
        70       1001.286      0.5700743      0.6419051   0.0008756605     -0.1936533     0.04475037      -9.755054
        71       1000.011      0.5765551      0.6498747  -2.599671e-06     -0.1947271    -0.00012176      -9.809935
        72        1000.84      0.5809939      0.6595045   0.0006389114     -0.1950583     0.03247561      -9.826697
        73       999.8685      0.5847998      0.6685328   3.140559e-05     -0.1946948    0.001620557      -9.808298
        74       1000.732      0.5873456      0.6781772   0.0001950244     -0.1950604    0.009869791      -9.826807
        75       1000.237      0.5890846      0.6876329    4.70617e-05     -0.1945275    0.002404395      -9.799813
        76       1000.004         0.5899      0.6979576   7.258747e-08     -0.1947295   3.665952e-06       -9.81005
        77       1000.004      0.5891841      0.7076344     -7.502e-08     -0.1947275  -3.665952e-06       -9.80995
        78       999.8042      0.5875435      0.7181345  -3.175173e-11     -0.1947285              0          -9.81
        79       999.8468      0.5847996      0.7278826   7.308197e-06     -0.1947381   0.0003740467      -9.810488
        80       1000.406      0.5810388       0.736958   0.0001533958     -0.1946367    0.007709482      -9.805206
        81       1001.043      0.5761143      0.7454957   0.0008514154     -0.1942421     0.04337475      -9.785252
        82       1000.231      0.5699159      0.7543224   9.796517e-05     -0.1946559    0.004959329      -9.806315
        83         999.83      0.5636895      0.7621473  -8.490211e-06     -0.1947217  -0.0004271868      -9.809656
        84         999.83      0.5560142      0.7683223   8.466013e-06     -0.1947353    0.000427378      -9.810344
        85       1000.285       0.547884      0.7744121    0.000112982     -0.1947899    0.005716799      -9.813106
        86       1000.285      0.5394484      0.7789954  -0.0001129398     -0.1946671   -0.005716799      -9.806894
        87       999.8042      0.5299751      0.7826571  -8.031308e-09     -0.1947285              0          -9.81
        88       1002.434      0.5197476      0.7862605    0.001689895     -0.1980864     0.08285222      -9.980495
        89       1001.417      0.5103982      0.7871927   -0.002563018     -0.1947094     -0.1315054      -9.810324
        90       999.8042         0.5001      0.7885576   5.278016e-09      -0.194729              0          -9.81
        91       999.9993      0.4896733      0.7879908   1.077167e-05     -0.1948145    0.000564002      -9.814348
        92       1000.898      0.4798307      0.7858034   0.0007134765     -0.1945121     0.03631759      -9.798986
        93       1000.898      0.4707673      0.7830548  -0.0007135308     -0.1949449    -0.03631759      -9.821014
        94       999.8042      0.4614005      0.7788448  -2.055689e-08     -0.1947285              0          -9.81
        95       1000.546      0.4516699      0.7740148   0.0002712855     -0.1945293     0.01375507        -9.7999
        96       1000.546      0.4439831      0.7683703  -0.0002712001     -0.1949276    -0.01375507        -9.8201
        97       1000.177      0.4362109      0.7617469   5.043257e-05     -0.1947609    0.002546752      -9.811638
        98       1000.069      0.4291854      0.7544715    1.79601e-05     -0.1947392   0.0008984916      -9.810535
        99       999.8597      0.4237947      0.7459405  -8.814355e-06     -0.1947238  -0.0004438328      -9.809761
       100       1000.142      0.4185133      0.7376069   4.488689e-05     -0.1947523    0.002216078      -9.811171
       101       999.8646      0.4145514      0.7281825   9.295687e-05      -0.194734    0.004774963      -9.810183
       102       999.8042      0.4119565      0.7183345  -1.955343e-09     -0.1947285              0          -9.81
       103        1000.19      0.4100659      0.7079351  -1.023446e-06      -0.194655  -5.174009e-05      -9.806285
       104        1000.19         0.4102      0.6983068   1.024635e-06     -0.1948019   5.174009e-05      -9.813715
       105       1000.316      0.4106155      0.6877326   -3.54447e-05     -0.1945525   -0.001793757      -9.801092
       106       1000.441      0.4125068      0.6783292   2.686642e-05     -0.1948671    0.001359039       -9.81701
       107       999.9324      0.4147006      0.6688321   6.556674e-06     -0.1947673   0.0003272837      -9.811947
       108       1001.026      0.4186216      0.6585128   0.0008208462      -0.194284     0.04182295      -9.787358
